Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update
iPhone Photography | Take Professional Photos On Your iPhone,www.udemy.com/course/iphonephotography/,Dale McManus,49.99,15.59,"4.7(5,195 ratings)",Photography,Digital Photography,iPhone Photography,"16,714",English,Your Online Guide to Taking Stunning iPhone Photography Like a Professional Digital Photographer,3/2019
iPhone Photography: Take Amazing Photos with your iPhone,www.udemy.com/course/iphone-photography-take-amazing-photos-with-your-iphone/,Life Progression Project,199.99,14.99,4.4(59 ratings),Photography,Digital Photography,iPhone Photography,894,English,"iPhone Photography for beginners: How to take better photos on your iphone. Exposure, composition, settings, tips & more",10/2019
The Complete Guide to iPhone Photography  (+ iOS 13 UPDATE),www.udemy.com/course/iphone-photography-course/,Michael Harrison,99.99,11.39,3.7(10 ratings),Photography,Digital Photography,iPhone Photography,58,English,"Learn every iPhone feature and function, photography principles, iPhone photo editing, and iPhone photography equipment.",9/2019
Iphone Camera Essentials,www.udemy.com/course/iphone-camera-essentials/,Guy Yang,49.99,11.39,3.5(74 ratings),Photography,Digital Photography,iPhone Photography,"4,147",English,Quickly turn your iPhone photography into a fulfilling passion. Get both the fundamentals and step-by-step instructions.,4/2014
The Complete iPhone Photography Course (updated with iOS 13),www.udemy.com/course/apple-iphone-photography-course-ios10-ios11-iphoneography-videography/,Michael Harrison,49.99,11.39,4.3(68 ratings),Photography,Digital Photography,iPhone Photography,"1,118",English,"Sharpen your iPhone Photography skills: Ideal for Hobbyists, Enthusiasts, Wedding Photography & Portrait Photography",9/2019
iPhone Photography - Take Better Pictures With Your iPhone,www.udemy.com/course/iphonephotographycourse/,Joe Parys,199.99,11.39,4.1(97 ratings),Photography,Photography Fundamentals,iPhone Photography,"7,157",English,"Want to take better, more professional looking pictures just using you iPhone? Join iPhone Photography 2019 Course Today",1/2019
Iphone Photography Masterclass + Editing,www.udemy.com/course/iphone-photography-masterclass-editing/,Alex Dominguez,199.99,11.39,4.4(7 ratings),Photography,Digital Photography,iPhone Photography,"2,983",English,"Learn to Master Taking Pictures with Your Iphone, Plus Editing with Top Iphone Editing Apps.",9/2019
iPhone Photography Secrets,www.udemy.com/course/creating-great-photos-on-your-iphone/,Chet Davis,29.99,11.39,3.9(84 ratings),Photography,Digital Photography,iPhone Photography,"2,487",English,"You'll learn the tools, techniques, and iPhone photography tips to create gorgeous iPhone photographs.",10/2017
iPhone Photography & iPhone Videography: Beginners Guide,www.udemy.com/course/iphone-video-iphone-photography/,David Quintanilla,44.99,11.39,3.0(18 ratings),Photography,Photography Fundamentals,iPhone Filmmaking,285,English,Learn the skills to boost your Video Production & Filmmaking || Improve the photos you take on your smartphone!,11/2018
SmartPhone Photography: Take Amazing pictures with a Phone,www.udemy.com/course/iphonephoto/,MindQuest Academy,109.99,11.39,3.0(80 ratings),Photography,Digital Photography,iPhone Photography,"9,644",English,"Become a true professional photographer armed with only your smartphone, take photography to the next level and beyond",10/2019
iPhone Selfie Portrait Photography For Social Media,www.udemy.com/course/iphone-selfie-portrait-photography-for-social-media/,Mark Timberlake,49.99,11.39,4.3(12 ratings),Photography,Digital Photography,iPhone Photography,594,English,Mobile Photography - Use your mobile phone to create selfie images for your social media profile,6/2016
iPhoto for photographers the missing manual,www.udemy.com/course/iphotocamera/,MindQuest Academy,24.99,11.39,4.1(6 ratings),Photography,Photography Tools,iPhone Photography,"4,840",English,Learn how to edit your pictures on a Macintosh using iPhoto. Great course if you are just starting out as a photographer,10/2019
iPhoto Online Tutorials: Photo Editing for Photographers,www.udemy.com/course/iphotoformac/,Sergey Kasimov,24.99,11.39,4.2(15 ratings),Photography,Photography Tools,iPhone Photography,"3,138",English,Your complete guide to editing photos with iPhoto,10/2019
iPhoneography - Easily Take Stunning Photos With Your iPhone,www.udemy.com/course/iphoneography-easily-take-stunning-photos-with-your-iphone/,Daniel Hall,99.99,11.39,4.0(14 ratings),Photography,Photography Fundamentals,iPhone Photography,"1,342",English,"Now anyone can shoot great looking, pro-caliber photographs with their iPhone with this quick yet concise course!",1/2016
iPhone Photography: Take Photos Like A Pro In 30 Minutes,www.udemy.com/course/iphone-photography-30-minutes/,Joe Babi,24.99,11.39,0.0(0 ratings),Photography,Digital Photography,iPhone Photography,106,English,Learn How Use Your iPhone To Take and Edit Photos Like A Professional That Your Friends and Family Will Love To Share.,10/2018
How to Take Awesome Pictures with Your iPhone or iPad,www.udemy.com/course/iphone-photography/,Jason R. Rich,19.99,11.39,3.9(5 ratings),Photography,"Digital Photography
 ",iPhone Photography,26,English,Learn from a professional photographer how to take eye-catching photos in a wide range of shooting situations.,10/2015
